Class,Day,Course,Section,Type,Time
A-302,Wednesday,Net & Cy Sec-II ,CY-C/D,Theory,01:00-02:20
A-302,Wednesday,DB ,"CS-A, 22",Theory,02:30-03:50
A-302,Wednesday,OS ,"CS-A, 22",Theory,03:55-05:15
A-303,Wednesday,OS ,SE-B,Theory,08:30-09:50
A-303,Wednesday,Proc Mining ,SE-B,Theory,10:00-11:20
A-303,Wednesday,Web ,SE-C,Theory,11:30-12:50
A-303,Wednesday,Web ,SE-B,Theory,01:00-02:20
A-303,Wednesday,OS ,"CS-B, 22",Theory,02:30-03:50
A-303,Wednesday,DB ,"CS-B, 22",Theory,03:55-05:15
A-305,Wednesday,Proc Mining ,SE-C,Theory,08:30-09:50
A-305,Wednesday,OS ,SE-G,Theory,10:00-11:20
A-305,Wednesday,Proc Mining ,SE-F,Theory,11:30-12:50
A-305,Wednesday,Proc Mining ,SE-G,Theory,01:00-02:20
A-305,Wednesday,Algo ,"CS-A, 22",Theory,02:30-03:50
A-305,Wednesday,Algo ,"CS-B, 22",Theory,03:55-05:15
A-310,Wednesday,Blockchain & Crypto ,A,Theory,08:30-09:50
A-310,Wednesday,Blockchain & Crypto ,B,Theory,10:00-11:20
A-310,Wednesday,S/w Qual Engg ,SE-A,Theory,11:30-12:50
A-310,Wednesday,OS ,SE-C/F,Theory,01:00-02:20
A-311,Wednesday,Ethical Hacking,Ethical Hacking,Theory,08:30-09:50
A-311,Wednesday,NLP ,A,Theory,10:00-11:20
A-311,Wednesday,NLP ,B,Theory,11:30-12:50
A-311,Wednesday,TBW ,SE-A,Theory,01:00-02:20
A-311,Wednesday,S/w Qual Engg ,SE-D,Theory,02:30-03:50
A-311,Wednesday,TBW ,SE-D,Theory,03:55-05:15
A-314,Wednesday,Sec s/w Design ,CY-T,Theory,08:30-09:50
A-314,Wednesday,PDC ,CY-T,Theory,10:00-11:20
A-314,Wednesday,Emb Control ,CS-Robo,Theory,11:30-12:50
A-314,Wednesday,TBW ,SE-E,Theory,02:30-03:50
A-314,Wednesday,S/w Qual Engg ,SE-E,Theory,03:55-05:15
A-315,Wednesday,Stat Modeling ,B,Theory,08:30-09:50
A-315,Wednesday,Stat Modeling ,CS-Robo A,Theory,10:00-11:20
A-315,Wednesday,MLOPs ,SE,Theory,11:30-12:50
A-315,Wednesday,MLOPs ,AI,Theory,01:00-02:20
A-316,Wednesday,Gen AI ,CS-A,Theory,10:00-11:20
A-316,Wednesday,Gen AI ,CS-B,Theory,11:30-12:50
C-110,Wednesday,DevOps ,A,Theory,08:30-09:50
C-110,Wednesday,DevOps ,B,Theory,10:00-11:20
C-110,Wednesday,Fund of SPM,Fund of SPM,Theory,11:30-12:50
C-110,Wednesday,PPIT Seminar,PPIT Seminar,Theory,01:00-02:20
C-110,Wednesday,DB ,"SE-A, 22",Theory,02:30-03:50
A-118 (MEDC),Wednesday,FSM,FSM,Theory,08:30-09:50
A-118 (MEDC),Wednesday,FSM,FSM,Theory,10:00-11:20
A-118 (MEDC),Wednesday,FSM,FSM,Theory,11:30-12:50
A-118 (MEDC),Wednesday,FSM,FSM,Theory,01:00-02:20
C-Margala 1,Wednesday,IICT ,CS-D,Lab,08:30-11:15
C-Margala 1,Wednesday,IICT ,CS-B,Lab,11:25-02:10
