Class,Day,Course,Section,Type,Time
A-314,Monday,Sec s/w Design ,CY-T,Theory,08:30-09:50
A-314,Monday,PDC ,CY-T,Theory,10:00-11:20
A-314,Monday,Cloud Comp ,A,Theory,11:30-12:50
A-314,Monday,Cloud Comp ,B,Theory,01:00-02:20
A-314,Monday,Comp Vision ,AI-K,Theory,02:30-03:50
A-314,Monday,Comp Vision ,AI-J,Theory,03:55-05:15
A-315,Monday,OS ,AI-D,Theory,10:00-11:20
A-315,Monday,Web Prog ,CY-C/D,Theory,11:30-12:50
A-315,Monday,Net & Cy Sec-II ,CY-C/D,Theory,01:00-02:20
A-315,Monday,OOP ,"AI/DS-B, 23",Theory,02:30-03:50
A-316,Monday,Gen AI ,CS-A,Theory,10:00-11:20
A-316,Monday,Gen AI ,CS-B,Theory,11:30-12:50
C-110,Monday,Blockchain & Crypto ,A,Theory,08:30-09:50
C-110,Monday,Blockchain & Crypto ,B,Theory,10:00-11:20
C-110,Monday,Fund of SPM,Fund of SPM,Theory,11:30-12:50
C-110,Monday,DB ,"SE-A, 22",Theory,02:30-03:50
A-118 (MEDC),Monday,DevOps ,A,Theory,08:30-09:50
A-118 (MEDC),Monday,DevOps ,B,Theory,10:00-11:20
A-118 (MEDC),Monday,MLOPs ,SE,Theory,11:30-12:50
A-118 (MEDC),Monday,MLOPs ,AI,Theory,01:00-02:20
C-Margala 1,Monday,IICT ,CS-C,Lab,08:30-11:15
C-Margala 1,Monday,IICT ,CS-A,Lab,11:25-02:10
C-Margala 1,Monday,PF Lab ,DS-A,Lab,02:25-05:10
C-Margala 3,Monday,IICT Lab ,AI-C,Lab,08:30-11:15
C-Margala 3,Monday,IICT Lab ,AI-A,Lab,11:25-02:10
C-Margala 3,Monday,COAL Lab ,CS-F,Lab,02:25-05:10
C-Margala 4,Monday,PF Lab ,SE-C,Lab,08:30-11:15
C-Margala 4,Monday,Data St Lab ,CS-E,Lab,11:25-02:10
C-Margala 4,Monday,Data St Lab ,DS-C,Lab,02:25-05:10
C-Rawal 1,Monday,COAL Lab ,CS-G,Lab,08:30-11:15
C-Rawal 1,Monday,Data St Lab ,CY-B,Lab,11:25-02:10
C-Rawal 1,Monday,COAL Lab ,CY-C,Lab,02:25-05:10
Rawal 3 (B-232),Monday,COAL Lab ,CY-A,Lab,08:30-11:15
Rawal 3 (B-232),Monday,Comp Net ,CS-B,Lab,11:25-02:10
Rawal 3 (B-232),Monday,Comp Net ,CS-H,Lab,02:25-05:10
C-Rawal 4,Monday,Comp Net ,CS-F,Lab,08:30-11:15
C-Rawal 4,Monday,DAV Lab ,DS-D,Lab,11:25-02:10
C-Rawal 4,Monday,OS Lab ,DS-C,Lab,02:25-05:10
C-GPU Lab,Monday,ML ,AI-A,Lab,11:25-02:10
A-Karakoram 1,Monday,DB Lab ,"AI-B, 22",Lab,08:30-11:15
A-Karakoram 1,Monday,OS ,AI-B,Lab,11:25-02:10
A-Karakoram 1,Monday,DB Lab ,"CS-A, 22",Lab,02:25-05:10
